🏻	ผิวโทน 1–2, โทนผิวสีขาว, โทนสีผิว
🏼	ผิวโทน 3, โทนผิวสีขาวเหลือง, โทนสีผิว
🏽	ผิวโทน 4, โทนผิวสีเหลือง, โทนสีผิว
🏾	ผิวโทน 5, โทนผิวสีแทน, โทนสีผิว
🏿	ผิวโทน 6, โทนผิวสีเข้ม, โทนสีผิว
😀	ยิ้มกว้าง, ยิ้มยิงฟัน, หน้ายิ้มยิงฟัน, ใบหน้า
😁	ยิงฟัน, ยิ้ม, ยิ้มยิงฟันตายิ้ม, หน้า, ฮี่ฮี่, ฮี่ๆ
😂	ดีใจ, น้ำตา, ปลื้ม, ร้องไห้ดีใจ, หน้า
🤣	กลิ้ง, ขำ, ขำกลิ้ง, แว้ก
😃	ตลก, ยิ้ม, ยิ้มยิงฟันปากอ้า, หน้า, หน้ายิ้มอ้าปาก, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ
😄	ตลก, ยิ้ม, หน้า, หน้ายิ้มตายิ้ม และอ้าปาก, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ
😅	ยิ้ม, ยิ้มเหงื่อตก, หน้า, เหงื่อออก
😆	ตาหยี, ยิ้ม, ยิ้มตาหยี, หน้า
😉	vbvb, ขยิบตา, ยิ้ม, หน้า, อิอิ
😊	vbvb, หน้า, หน้ายิ้มตายิ้ม, อมยิ้ม, อิอิ
😋	หน้า, อร่อย, แลบลิ้นมุมปาก
😎	ยิ้ม, หน้า, หน้ายิ้มใส่แว่น, แว่นกันแดด
😍	ความรัก, ตา, ตาหัวใจ, ยิ้ม, หน้า, หัวใจ
😘	จุ๊บ, ส่งจูบ, หน้า, หน้าส่งจุ๊บ, หัวใจ
🥰	ตกหลุมรัก, หน้ายิ้มพร้อมกับหัวใจ 3 ดวง, หลงรัก, หลงใหล
😗	จุ๊บ, ส่งจูบ, หน้า, หน้าจุ๊บ
😙	จุ๊บ, ส่งจูบ, หน้า, หน้ายิ้มส่งจุ๊บ
😚	จุ๊บ, ส่งจูบ, หน้า, หยีตาส่งจุ๊บ
🙂	ยิ้ม, หน้า, หน้ายิ้มบางๆ
🤗	กอด, ยิ้ม, ยิ้มกอด, หน้า, อบอุ่น
🤩	หน้าตาเป็นประกาย
🤔	คิด, หน้า, หน้าครุ่นคิด
🤨	คลางแคลงใจ, สงสัย, หน้าประหลาดใจกับยักคิ้ว
😑	หน้า, หน้าเย็นชา, เฉยๆ
😶	หน้า, หน้าไม่มีปาก, ไม่มีปาก
🙄	กลอกตา, หน้า
😏	หน้า, แสยะยิ้ม
😣	หน้า, อดทน
😥	ผิดหวัง, หน้า, โล่งอก
😮	ตกใจ, หน้า, อ้าปาก
🤐	รูดซิป, รูดซิปปาก, หน้า
😯	หน้า, หน้าจุ๊ๆ, ห่อปาก
😪	ง่วง, หน้า, หลับ
😫	หน้า, เหนื่อย
😴	กรน, หน้า, หลับ
😌	หน้า, โล่งใจ
😛	หน้า, แลบลิ้น
😜	ขยิบตา, หน้า, แลบลิ้น, แลบลิ้นหน้าทะเล้น
😝	หน้า, แลบลิ้น, แลบลิ้นตาหยี
🤤	น้ำลาย, น้ำลายไหล, หิว
😒	หน้า, หน้าหน่าย, ไม่มีความสุข
😓	หน้า, เหงื่อ, เหงื่อตก
😔	คิดมาก, คิดไม่ตก, ผิดหวัง, หน้า
😕	สับสน, หน้า, หน้าสับสน
🙃	กลับหัว, หน้า, หน้ากลับหัว
🤑	หน้า, หน้าเห็นแก่เงิน, เงิน
😲	ประหลาดใจ, หน้า, หน้าประหลาดใจ
🙁	บึ้ง, หน้า, หน้าบึ้งเล็กน้อย
😖	รำคาญ, หน้า, หน้ารำคาญ
😞	ผิดหวัง, หน้า, หน้าผิดหวัง
😟	กังวล, หน้า, หน้ากังวล
😤	ชนะแล้ว, หน้า, หน้าข่มอารมณ์
😢	น้ำตา, ร้องไห้, หน้า
😭	น้ำตา, ร้องไห้, ร้องไห้โฮ, หน้า
😦	บึ้ง, หน้า, หน้าบึ้งอ้าปาก
😧	หน้า, หน้าเจ็บปวด, เจ็บปวด
😨	กลัว, หน้า, หวาดกลัว
😩	หน้า, หน้าอิดโรย, เหนื่อย
🤯	ช็อค
😬	ยิงฟัน, หน้า, เบะปาก
😰	กังวล, กังวลเหงื่อตก, หน้า
😱	กลัว, กลัวกรีดร้อง, หน้า
🥵	ร้อน, ร้อนตับแลบ, ร้อนมาก, เหงื่อแตกพลั่ก, ไข้ขึ้น
🥶	หนาว, หนาวสั่น, เย็นจัด, เย็นยะเยือก
😳	หน้า, อาย, อายหน้าแดง
🤪	หน้าตลก, หน้าเพี้ยน
😵	มึน, หน้า, หน้ามึน
😡	หน้า, โกรธ, โกรธมาก
😠	หน้า, หน้าโกรธ, โมโห
🤬	สบถ, หน้ากำลังด่า
😷	ป่วย, ผ้าคาดปาก, หน้า, เป็นหวัด
🤒	ปรอทวัดไข้, ป่วย, หน้า, อมปรอท
🤕	ผ้าก็อต, หน้า, หัวแตก, เจ็บ, แผล
🤢	คลื่นไส้, พะอืดพะอม, หน้าเขียว, อ้วก
🤮	ป่วย, หน้าอาเจียน, อ้วก
🤧	จาม, ป่วย, หวัด, ฮัดเช้ย, ใครบ่นถึง
😇	นางฟ้า, บริสุทธิ์, ยิ้ม, ยิ้มเทวดา, เทวดา
🤠	คน, คาวบอย, คาวบอยสวมหมวก, หน้า, หมวก
🥳	งานเลี้ยง, ฉลอง, ปาร์ตี้, หมวกปาร์ตี้, ไปปาร์ตี้
🥴	งงงวย, มึนเมา, วิงเวียน, หน้างงงวย, เมา
🥺	ขอความเห็นใจ, ขอร้อง, หน้าอ้อนวอน, อ้อนวอน
🤥	ขี้จุ๊, ขี้โกหก, จมูกยาว, พิน็อคคิโอ, หน้า
🤫	จุ๊จุ๊, หน้าบอกให้เงียบ
🤭	เอามือปิดปาก
🧐	หน้ากับแว่นเลนส์เดียว
🤓	จริงจัง, หน้า, เด็กเนิร์ด, เนิร์ด
😈	ปิศาจ, ภูต, ยิ้มมีเขา, หน้า
👿	ปิศาจ, ภูต, หน้า, หน้าบึ้งมีเขา
🤡	ตลก, หน้า, หน้าตลก, โจ๊กเกอร์
👹	ญี่ปุ่น, ปิศาจ, ยักษ์, ยักษ์ญี่ปุ่น, หน้า
👺	ญี่ปุ่น, ปิศาจ, ปีศาจญี่ปุ่น, หน้า
💀	กะโหลก, หัวกระโหลก
👻	ผี, หลอก
👾	นอกโลก, มนุษย์ต่างดาว, ยูเอฟโอ, สัตว์ประหลาดเอเลี่ยน, หน้า, อวกาศ, เอเลี่ยน
🤖	หน้า, หุ่นยนต์
💩	อึ, อุนจิ
😺	ยิ้ม, หน้า, แมว, แมวยิ้มอ้าปาก
😸	ยิ้ม, หน้า, แมว, แมวยิ้ม
😹	ยิ้ม, ร้องไห้, หน้า, แมว, แมวร้องไห้ดีใจ
😻	ยิ้ม, หน้า, หลงรัก, แมว, แมวยิ้มมีตารูปหัวใจ
😼	ยิ้มเยาะ, หน้า, เจ้าเล่ห์, แมว, แมวยิ้มเจ้าเล่ห์
😽	ส่งจุ๊บ, ส่งจูบ, หน้า, แมว, แมวส่งจุ๊บ
🙀	ตกใจ, หน้า, แมว, แมวตกใจ
😿	ร้องไห้, หน้า, แมว, แมวร้องไห้
😾	หน้า, แมว, แมวโกรธ, โกรธ
🙈	ปิดตา, ลิง, ลิงปิดตา
🙉	ปิดหู, ลิง, ลิงปิดหู
🙊	ปิดปาก, ลิง, ลิงปิดปาก
👶	ทารก, เด็ก
🧒	เด็ก
👦	คน, เด็กชาย
👧	คน, เด็กหญิง
🧑	คน, ผู้ใหญ่
👱	คน, คนผมทอง, ผมทอง
👨	คน, ผู้ชาย
👱‍♂	ผมทอง, ผู้ชาย, ผู้ชายผมทอง
🧔	คนมีหนวดเครา, คนมีเครา
👩	คน, ผู้หญิง
👱‍♀	ผมทอง, ผู้หญิง, ผู้หญิงผมทอง
🧓	คนชรา
👴	คนแก่, ชาย, ชายแก่
👵	คนแก่, หญิง, หญิงแก่
👨‍⚕	การดูแลสุขภาพ, นักบำบัด, นายแพทย์, พยาบาล, หมอ, หมอชาย
👩‍⚕	การดูแลสุขภาพ, นักบำบัด, พยาบาล, หมอ, หมอหญิง, แพทย์หญิง
👨‍🎓	นักเรียน, นักเรียนชาย, ผู้ชาย, เรียนจบ
👩‍🎓	นักเรียน, นักเรียนหญิง, ผู้หญิง, เรียนจบ
👨‍🏫	ครู, ครูชาย, ผู้ชาย, ศาสตราจารย์, อาจารย์
👩‍🏫	ครู, ครูหญิง, ผู้หญิง, ศาสตราจารย์, อาจารย์
👨‍⚖	ความยุติธรรม, ตราชั่ง, ผู้ชาย, ผู้พิพากษาชาย
👩‍⚖	การตัดสิน, ตราชั่ง, ผู้พิพากษาหญิง, ผู้หญิง
👨‍🌾	ชาวนา, ชาวนาชาย, ชาวสวน, ผู้ชาย, เจ้าของฟาร์ม
👩‍🌾	ชาวนา, ชาวนาหญิง, ชาวสวน, ผู้หญิง, เจ้าของฟาร์ม
👨‍🍳	ผู้ชาย, พ่อครัว, เชฟ
👩‍🍳	ผู้หญิง, เชฟ, แม่ครัว
👨‍🔧	ช่าง, ช่างกล, ช่างซ่อมชาย, ช่างประปา, ช่างไฟฟ้า
👩‍🔧	ช่าง, ช่างกล, ช่างซ่อมหญิง, ช่างประปา, ช่างไฟฟ้า
👨‍🏭	คนงาน, ผู้ชาย, พนักงานโรงงานชาย, อุตสาหกรรม, โรงงาน
👩‍🏭	คนงาน, ผู้หญิง, พนักงานโรงงานหญิง, อุตสาหกรรม, โรงงาน
👨‍💼	ธุรกิจ, ผู้จัดการ, พนักงานบริษัทชาย, พนักงานออฟฟิศ, สถาปนิก
👩‍💼	ธุรกิจ, ผู้จัดการ, พนักงานบริษัทหญิง, พนักงานออฟฟิศ, สถาปนิก
👨‍🔬	นักชีววิทยา, นักฟิสิกส์, นักวิทยาศาสตร์, นักวิทยาศาสตร์ชาย, นักเคมี
👩‍🔬	นักชีววิทยา, นักฟิสิกส์, นักวิทยาศาสตร์, นักวิทยาศาสตร์หญิง, นักเคมี, ผู้หญิง, วิศวกร
👨‍💻	ซอฟต์แวร์, นักประดิษฐ์, นักพัฒนา, ผู้ชาย, ผู้เชี่ยวชาญด้านเทคโนโลยี, ผู้เชี่ยวชาญด้านเทคโนโลยีชาย, โปรแกรมเมอร์
👩‍💻	ซอฟต์แวร์, นักประดิษฐ์, นักพัฒนา, ผู้หญิง, ผู้เชี่ยวชาญด้านเทคโนโลยี, ผู้เชี่ยวชาญด้านเทคโนโลยีหญิง, โปรแกรมเมอร์
👨‍🎤	ดารา, นักร้อง, นักร้องชาย, นักแสดง, ผู้ชาย, ผู้ให้ความบันเทิง, ร็อค
👩‍🎤	ดารา, นักร้อง, นักร้องหญิง, นักแสดง, ผู้หญิง, ผู้ให้ความบันเทิง, ร็อค
👨‍🎨	จานสี, ผู้ชาย, ศิลปิน, ศิลปินชาย
👩‍🎨	จานสี, ผู้หญิง, ศิลปิน, ศิลปินหญิง
👨‍✈	นักบิน, นักบินชาย, ผู้ชาย, เครื่องบิน
👩‍✈	นักบิน, นักบินหญิง, ผู้หญิง, เครื่องบิน
👨‍🚀	จรวด, นักบินอวกาศ, นักบินอวกาศชาย, ผู้ชาย, อวกาศ
👩‍🚀	จรวด, นักบินอวกาศ, นักบินอวกาศหญิง, ผู้หญิง, อวกาศ
👨‍🚒	ผู้ชาย, พนักงานดับเพลิง, พนักงานดับเพลิงชาย, รถดับเพลิง
👩‍🚒	ผู้หญิง, พนักงานดับเพลิง, พนักงานดับเพลิงหญิง, รถดับเพลิง
👮	คน, ตำรวจ, เจ้าหน้าที่ตำรวจ
👮‍♂	ตำรวจ, ตำรวจชาย, ผู้ชาย, เจ้าหน้าที่
👮‍♀	ตำรวจ, ตำรวจหญิง, ผู้หญิง, เจ้าหน้าที่
🕵‍♂	นักสืบ, นักสืบชาย, ผู้ชาย, สายลับ
🕵‍♀	นักสืบ, นักสืบหญิง, ผู้หญิง, สายลับ
💂	การ์ด, การ์ดคุ้มกัน, ยาม
💂‍♂	ผู้ชาย, องครักษ์, องครักษ์ชาย
💂‍♀	ผู้หญิง, องครักษ์, องครักษ์หญิง
👷	ก่อสร้าง, คน, คนงานก่อสร้าง, ปลอดภัยไว้ก่อน
👷‍♂	ก่อสร้าง, คนงาน, ผู้ชาย, พนักงานก่อสร้างชาย
👷‍♀	ก่อสร้าง, คนงาน, ผู้หญิง, พนักงานก่อสร้างหญิง
🤴	องค์ชาย, เจ้าชาย
👸	เจ้าหญิง, เทพนิยาย
👳	คน, ชายโพกหัว, โพกหัว
👳‍♂	ผู้ชาย, ผู้ชายโพกหัว, ผ้าโพกหัว
👳‍♀	ผู้หญิง, ผู้หญิงโพกหัว, ผ้าโพกหัว
👲	คน, ชายจีน
🧕	ผู้หญิงคลุมฮิญาบ, ผู้หญิงโพกศีรษะ, ฮิญาบ, โพกศีรษะ
🤵	ทักซิโด้, หนุ่มหล่อ, เจ้าบ่าว, เต็มยศ, เฟี้ยว
👰	เจ้าสาว, แต่งงาน
🤰	คนท้อง, ท้อง, แม่
🤱	ให้นม
👼	นางฟ้า, นางฟ้าเด็ก, เทพนิยาย
🎅	คริสต์มาส, ซานตาคลอส, ซานต้า
🤶	คริสต์มาส, นางซานต้า, นางแซนต้า, แม่
🦸	จอมพลัง, ซุปเปอร์ฮีโร่, ฮีโร่, เก่ง
🦸‍♀	จอมพลัง, ตัวแม่, ผู้หญิง, ยอดหญิง, ฮีโร่, เก่ง
🦸‍♂	จอมพลัง, ตัวพ่อ, ผู้ชาย, พระเอก, ฮีโร่, เก่ง
🦹	ตัวร้าย, ปีศาจ, ผู้ร้าย, ยอดมนุษย์, อาชญากร
🦹‍♀	ตัวร้าย, นางร้าย, ปีศาจ, ผู้ร้าย, ผู้หญิง, อาชญากร
🦹‍♂	ตัวร้าย, ตัวโกง, ปีศาจ, ผู้ชาย, ผู้ร้าย, อาชญากร
🧙	นักเวทย์, ผู้วิเศษ, พ่อมด, แม่มด
🧙‍♀	ผู้วิเศษ, แม่มด
🧙‍♂	ผู้วิเศษ, พ่อมด
🧚	นางฟ้า, แฟรี่
🧚‍♀	เทพธิดา, แฟรี่ผู้หญิง
🧚‍♂	เทพบุตร, แฟรี่ผู้ชาย
🧛	อมตะ, แดร็กคูล่า, แวมไพร์
🧛‍♀	อมตะ, แวมไพร์ผู้หญิง
🧛‍♂	อมตะ, แดร็กคูล่า, แวมไพร์ผู้ชาย
🧜	ครึ่งคนครึ่งปลา, เมอร์เมด
🧜‍♀	เงือก
🧜‍♂	เงือกชาย
🧝	จอมเวทย์, เอลฟ์
🧝‍♀	จอมเวทย์, เอลฟ์ผู้หญิง
🧝‍♂	จอมเวทย์, เอลฟ์ผู้ชาย
🧞	ยักษ์จินนี่, ยักษ์จีนี่
🧞‍♀	ยักษ์จินนี่หญิง, ยักษ์จีนี่หญิง
🧞‍♂	ยักษ์จินนี่ชาย, ยักษ์จีนี่ชาย
🧟	ซอมบี้, ผีดิบ
🧟‍♀	ซอมบี้ผู้หญิง, ผีดิบ
🧟‍♂	ซอมบี้ผู้ชาย, ผีดิบ
🙍	ขมวดคิ้ว, คิ้ว, บึ้งตึง, หน้า
🙍‍♂	ท่าทาง, ผู้ชาย, ผู้ชายหน้าบึ้ง, หน้าบึ้ง
🙍‍♀	ท่าทาง, ผู้หญิง, ผู้หญิงหน้าบึ้ง, หน้าบึ้ง
🙎	งอน, ปากยื่น, หน้า, โกรธ
🙎‍♂	ท่าทาง, ผู้ชาย, ผู้ชายโกรธ, โกรธ
🙎‍♀	ท่าทาง, ผู้หญิง, ผู้หญิงโกรธ, โกรธ
🙅	มือ, มือทำท่าไม่โอเค, ห้าม, ไม่เห็นด้วย
🙅‍♂	ต้องห้าม, ท่าทาง, ผู้ชาย, ผู้ชายทำท่าไม่โอเค, ห้าม
🙅‍♀	ต้องห้าม, ท่าทาง, ผู้หญิง, ผู้หญิงทำท่าไม่โอเค, ห้าม
🙆	ตกลง, ทำท่าโอเค, โอเค
🙆‍♂	ท่าทาง, ผู้ชาย, ผู้ชายทำท่าโอเค, มือ, โอเค
🙆‍♀	ท่าทาง, ผู้หญิง, ผู้หญิงทำท่าโอเค, มือ, โอเค
💁	ความช่วยเหลือ, โต๊ะสอบถาม
💁‍♂	ผู้ชาย, ผู้ชายแบมือ, แบมือ
💁‍♀	ผู้หญิง, ผู้หญิงแบมือ, แบมือ
🙋	มีความสุข, มือ, ยกมือขึ้น
🙋‍♂	ท่าทาง, ผู้ชาย, ผู้ชายยกมือ, ยกมือ
🙋‍♀	ท่าทาง, ผู้หญิง, ผู้หญิงยกมือ, ยกมือ
🙇	ท่าขอโทษ, โค้งตัวคำนับ
🙇‍♂	กราบ, ขอโทษ, ท่าทาง, ผู้ชาย, ผู้ชายหมอบคำนับ
🙇‍♀	กราบ, ขอโทษ, ท่าทาง, ผู้หญิง, ผู้หญิงหมอบคำนับ
🤦	ผิดหวัง, สิ้นหวัง, หมดกัน, เสียใจ, โธ่
🤦‍♂	ผิดหวัง, ผู้ชาย, ผู้ชายเอามือก่ายหน้าผาก, มือก่ายหน้าผาก, ไม่เชื่อ
🤦‍♀	ผิดหวัง, ผู้หญิง, ผู้หญิงเอามือก่ายหน้าผาก, มือก่ายหน้าผาก, ไม่เชื่อ
🤷	ช่างเถอะ, ยักไหล่, ไม่รู้, ไม่สน, ไม่แคร์
🤷‍♂	ผู้ชาย, ผู้ชายยักไหล่, ยักไหล่, ไม่รู้ไม่ชี้, ไม่สนใจ
🤷‍♀	ผู้หญิง, ผู้หญิงยักไหล่, ยักไหล่, ไม่รู้ไม่ชี้, ไม่สนใจ
💆	นวด, นวดหน้า, เสริมสวย
💆‍♂	นวด, ผู้ชาย, ผู้ชายกำลังนวดหน้า, หน้า
💆‍♀	นวด, ผู้หญิง, ผู้หญิงกำลังนวดหน้า, หน้า
💇	ตัดผม, เสริมสวย
💇‍♂	ตัดผม, ผู้ชาย, ผู้ชายกำลังตัดผม
💇‍♀	ตัดผม, ผู้หญิง, ผู้หญิงกำลังตัดผม
🚶	คนเดิน, เดิน
🚶‍♂	ผู้ชาย, ผู้ชายเดิน, เดิน
🚶‍♀	ผู้หญิง, ผู้หญิงเดิน, เดิน
🏃	นักวิ่ง, วิ่ง
🏃‍♂	ผู้ชาย, ผู้ชายวิ่ง, มาราธอน, วิ่ง, แข่งขัน
🏃‍♀	ผู้หญิง, ผู้หญิงวิ่ง, มาราธอน, แข่งขัน
💃	นักเต้น, เต้น
🕺	คนเต้น, ผู้ชาย, เต้น, แดนซ์
👯	คน, คนในชุดหูกระต่าย, หูกระต่าย, แดนเซอร์
👯‍♂	ปาร์ตี้, ผู้ชาย, ผู้ชายในชุดหูกระต่าย, หูกระต่าย
👯‍♀	ปาร์ตี้, ผู้หญิง, ผู้หญิงในชุดหูกระต่าย, หูกระต่าย
🧖	คนในห้องอบไอน้ำ, ซาวน่า, อบไอน้ำ
🧖‍♀	ผู้หญิงซาวน่า, ผู้หญิงอบไอน้ำ, ผู้หญิงในห้องอบไอน้ำ
🧖‍♂	ผู้ชายซาวน่า, ผู้ชายอบไอน้ำ, ผู้ชายในห้องอบไอน้ำ
🧗	คนไต่เขา, นักไต่เขา
🧗‍♀	ผู้หญิงปีนเขา, ผู้หญิงไต่เขา
🧗‍♂	ผู้ชายปีนเขา, ผู้ชายไต่เขา
🧘	คนนั่งสมาธิ, นั่งขัดสมาธิ, โยคะ
🧘‍♀	นั่งขัดสมาธิ, ผู้หญิงนั่งสมาธิ, โยคะ
🧘‍♂	นั่งขัดสมาธิ, ผู้ชายนั่งสมาธิ, โยคะ
🛀	คนนอนแช่น้ำในอ่าง, อาบน้ำ, อ่าง
🛌	คนนอนหลับ, หลับ, โรงแรม
👤	คน, เงาครึ่งตัวคนเดียว
👥	ผู้คน, เงาครึ่งตัว 2 คน
🤺	กีฬา, ดวล, ดาบ, ฟัน, ฟันดาบ
🏇	จ๊อกกี้, ม้า, แข่ง, แข่งม้า
🏌‍♂	กอล์ฟ, ผู้ชาย, ผู้ชายตีกอล์ฟ
🏌‍♀	กอล์ฟ, ผู้หญิง, ผู้หญิงตีกอล์ฟ
🏄‍♂	ผู้ชาย, ผู้ชายโต้คลื่น, โต้คลื่น
🏄‍♀	ผู้หญิง, ผู้หญิงโต้คลื่น, โต้คลื่น
🚣	ยานพาหนะ, เรือ, เรือพาย, ไม้พาย
🚣‍♂	ผู้ชาย, ผู้ชายพายเรือ, พายเรือ, เรือ
🚣‍♀	ผู้หญิง, ผู้หญิงพายเรือ, พายเรือ, เรือ
🏊‍♂	ผู้ชาย, ผู้ชายว่ายน้ำ, ว่ายน้ำ
🏊‍♀	ผู้หญิง, ผู้หญิงว่ายน้ำ, ว่ายน้ำ
⛹‍♂	บอล, ผู้ชาย, ผู้ชายเล่นบอล
⛹‍♀	บอล, ผู้หญิง, ผู้หญิงเล่นบอล
🏋‍♂	นักยกน้ำหนัก, ผู้ชาย, ผู้ชายยกน้ำหนัก
🏋‍♀	นักยกน้ำหนัก, ผู้หญิง, ผู้หญิงยกน้ำหนัก
🚴	นักปั่นจักรยาน, ปั่นจักรยาน
🚴‍♂	ขี่จักรยาน, จักรยาน, นักขี่จักรยาน, ผู้ชาย, ผู้ชายปั่นจักรยาน
🚴‍♀	ขี่จักรยาน, จักรยาน, นักขี่จักรยาน, ผู้หญิง, ผู้หญิงปั่นจักรยาน
🚵	นักปั่นจักรยาน, นักปั่นจักรยานเสือภูเขา, ปั่นจักรยาน
🚵‍♂	จักรยาน, นักขี่จักรยาน, ผู้ชาย, ผู้ชายปั่นจักรยานเสือภูเขา, ภูเขา
🚵‍♀	ขี่จักรยาน, จักรยาน, นักขี่จักรยาน, ผู้หญิง, ผู้หญิงปั่นจักรยานเสือภูเขา
🤸	กีฬา, คน, ตีลังกา, ยิมนาสติก, ล้อเกวียน
🤸‍♂	กีฬา, ตีลังกา, ผู้ชาย, ผู้ชายตีลังกา, ยิมนาสติก
🤸‍♀	กีฬา, ตีลังกา, ผู้หญิง, ผู้หญิงตีลังกา, ยิมนาสติก
🤼	กีฬา, ต่อสู้, ปล้ำ, มวย, มวยปล้ำ
🤼‍♂	ผู้ชาย, ผู้ชายเล่นมวยปล้ำ, มวยปล้ำ
🤼‍♀	ผู้หญิง, ผู้หญิงเล่นมวยปล้ำ, มวยปล้ำ
🤽	กีฬา, น้ำ, โปโล, โปโลน้ำ
🤽‍♂	กีฬา, ผู้ชาย, ผู้ชายเล่นโปโลน้ำ, โปโลน้ำ
