🏻	ผิวโทน 1–2, โทนผิวสีขาว, โทนสีผิว
🤽‍♀	กีฬา, ผู้หญิง, ผู้หญิงเล่นโปโลน้ำ, โปโลน้ำ
🤾	กีฬา, คนเล่นแฮนด์บอล, บอล, แฮนด์บอล
🤾‍♂	กีฬา, ผู้ชาย, ผู้ชายเล่นแฮนด์บอล, แฮนด์บอล
🤾‍♀	กีฬา, ผู้หญิง, ผู้หญิงเล่นแฮนด์บอล, แฮนด์บอล
🤹	คนเล่นจั๊กกลิ้ง, จั๊กกลิ้ง, ทักษะ, มายากล, โยนบอล
🤹‍♂	ผู้ชาย, ผู้ชายเล่นจั๊กกลิ้ง, เล่นกล, โยนรับของ
🤹‍♀	ผู้หญิง, ผู้หญิงเล่นจั๊กกลิ้ง, เล่นกล, โยนรับของ
👫	คู่, จับมือ, ชาย, ชาย-หญิงจับมือ, หญิง
👬	คน, จับมือ, ชาย, ชาย-ชายจับมือ
👭	คน, จับมือ, หญิง, หญิง-หญิงจับมือ
💏	ความรัก, จูบ
💑	คู่รัก, รักกัน, โรแมนติก
🤳	กล้อง, มือถือ, เซลฟี่
💪	กล้าม, กล้ามแขน, เบ่งกล้าม, แข็งแรง, ไบเซป
🦵	ขา, เตะ
🦶	กระทืบ, เตะ, เท้า
🖕	ขึ้น, ชี้, ชูนิ้วกลาง, นิ้ว, มือ
🤞	นิ้วไขว้, ภาวนา, มือ, โชคดี, ไขว้
🖖	ชูนิ้วแบบวัลแคน, นิ้ว, มือ, วัลแคน, อวัยวะ
🤘	ชูนิ้วชาวร็อก, มือ, ร็อก, อวัยวะ
🤙	มือ, มือโทร, โทร
✋	ตั้งฝ่ามือ, มือ, อวัยวะ
👌	ทำมือโอเค, นิ้ว, มือ, อวัยวะ
✊	กำมือ, ค้อน, หมัด, อวัยวะ
👊	กำปั้น, ชก, มือ, อวัยวะ
🤛	กำปั้น, กำปั้นขวา, ขวา
🤜	กำปั้น, กำปั้นซ้าย, ซ้าย
🤚	ยกมือ, หลังมือ
👋	มือ, อวัยวะ, โบก, โบกมือ
🤟	ทำมือ ‘ฉันรักเธอ’, มือ
👏	ตบมือ, มือ, อวัยวะ
👐	มือ, อวัยวะ, แบมือ
🙌	ชู 2 มือ, ดีใจ, มือ, อวัยวะ
🤲	แบสองมือ
🙏	ขอบคุณ, พนมมือ, มือ, อวัยวะ, เคารพ, ไหว้
🤝	คืนดี, จับมือ, ร่วมงาน, ร่วมมือ, เชคแฮนด์
💅	ทำเล็บ, สีทาเล็บ
👃	จมูก, ดม, อวัยวะ
👣	รอยเท้า, อวัยวะ, เท้า
👀	ตา, ตา 2 ข้าง, อวัยวะ
👁‍🗨	ตา, ตาในลูกโป่งคำพูด, พยาน, ลูกโป่งคำพูด
🧠	ฉลาด, สมอง
🦴	กระดูก, โครงกระดูก
🦷	ฟัน, หมอฟัน
👅	ลิ้น, อวัยวะ
👄	ปาก, อวัยวะ
🦰	ผมแดง, หัวแดง
🦱	ผมลอน, ผมหยิก, หยิก, แอฟโฟร
🦳	ขาว, ผม, ผมขาว, หงอก, แก่
🦲	คีโม, สกินเฮด, หัวล้าน, โกนหัว, ไม่มีผม
💋	จูบ, ปาก, รอยจูบ, อวัยวะ
💘	ความรัก, ลูกศร, ศรปักใจ, หัวใจ
💝	วาเลนไทน์, หัวใจ, หัวใจผูกริบบิ้น
💖	ตื่นเต้น, รัก, หัวใจ, หัวใจวิบวับ
💗	หัวใจ, ใจพองโต
💓	หัวใจ, หัวใจเต้น
💞	หัวใจ, หัวใจโคจร
💕	รัก, ใจ 2 ดวง
💌	ความรัก, จดหมาย, จดหมายรัก, หัวใจ, อีเมล
💔	หัวใจ, อกหัก
🧡	สีส้ม, หัวใจสีส้ม
💛	หัวใจ, หัวใจสีเหลือง
💚	หัวใจ, หัวใจสีเขียว
💙	หัวใจ, หัวใจสีน้ำเงิน
💜	หัวใจ, หัวใจสีม่วง
🖤	ดำ, หัวใจสีดำ, ใจดำ, ใจร้าย
💟	หัวใจ, หัวใจประดับ
💤	กรน, ง่วง, หลับปุ๋ย
💢	โกรธ, โมโห
💥	การปะทะ, ชน, โกรธมาก
💦	เหงื่อ, เหงื่อหยด
💨	วิ่งฉิว, วิ่งหนี
💫	มึนหัว, เห็นดาว
💬	คำพูด, บทสนทนา, พูดไม่ออก, ลูกโป่ง
💭	ความคิด, ลูกโป่ง, ลูกโป่งความคิด
🥽	แว่นตากันลม, แว่นตาว่ายน้ำ, แว่นป้องกันดวงตา
🥼	การทดลอง, นักวิทยาศาสตร์, หมอ, เสื้อกาวน์
👔	เนคไท, เสื้อผ้า
👕	เสื้อผ้า, เสื้อยืด
👖	กางเกง, กางเกงขายาว, ยีนส์, เสื้อผ้า
🧣	คอ, ผ้าพันคอ
🧤	ถุงมือ, มือ
🧥	เสื้อโค้ต, เสื้อโค้ท
🧦	ถุงน่อง, ถุงเท้า
👗	ชุดกระโปรง, เดรส
👘	กิโมโน, เสื้อผ้า
👙	บิกินี, ว่ายน้ำ, เสื้อผ้า
👚	เสื้อผู้หญิง, เสื้อผ้า
👛	กระเป๋าสตางค์, กระเป๋าใส่เงิน, กระเป๋าใส่เหรียญ
👜	กระเป๋า, กระเป๋าถือ
👝	กระเป๋า, กระเป๋าใบเล็ก
🎒	กระเป๋า, กระเป๋าเรียน, เป้นักเรียน
👞	ผู้ชาย, รองเท้า, รองเท้าชาย, รองเท้าผู้ชาย
👟	รองเท้า, รองเท้ากีฬา, รองเท้าผ้าใบ
🥾	ตั้งแคมป์, ปีนเขา, รองเท้าบู๊ท, รองเท้าปีนเขา, แบ็คแพ็คกิ้ง
🥿	รองเท้าคัทชู, รองเท้าบัลเล่ต์, รองเท้าสลิปเปอร์, รองเท้าส้นเตี้ย
👠	รองเท้า, รองเท้าผู้หญิง, รองเท้าส้นสูง, ส้นสูง
👡	ผู้หญิง, รองเท้า, รองเท้าแตะ, รองเท้าแตะผู้หญิง, เสื้อผ้า
👢	ผู้หญิง, รองเท้าบู๊ต, รองเท้าบู๊ตผู้หญิง, เสื้อผ้า
👑	พระราชา, พระราชินี, มงกุฎ
👒	ผู้หญิง, หมวก, หมวกผู้หญิง
🎩	หมวก, หมวกสูง
🧢	หมวกแก๊ป
📿	ลูกประคำ, ลูกปัด, ศาสนา, สร้อย, สวดมนต์
💄	ลิปสติก, เครื่องสำอาง
💍	ความรัก, แหวน
💎	อัญมณี, เพชร
🐵	ลิง, สัตว์, หน้าลิง, ใบหน้า
🐒	ลิง, สัตว์
🦍	กอริลล่า, ลิง, สัตว์, หน้าขน
🐶	สัตว์, สุนัข, หน้าสุนัข, ใบหน้า
🐩	พุดเดิ้ล, สัตว์, สุนัข
🐺	สัตว์, หน้า, หน้าหมาป่า, หมาป่า
🦊	จิ้งจอก, สัตว์, หน้า, เจ้าเล่ห์
🦝	ขี้สงสัย, มีเล่ห์เหลี่ยม, แรคคูน
🐱	สัตว์, หน้าแมว, แมว
🦁	ราศี, ราศีสิงห์, สิงโต, หน้า, หน้าสิงโต
🐯	สัตว์, หน้าเสือ, เสือ
🐅	สัตว์, เสือ
🐆	สัตว์, เสือ, เสือดาว
🐴	ม้า, สัตว์, หน้าม้า
🐎	ม้า, สัตว์
🦄	ยูนิคอร์น, หน้า, หน้ายูนิคอร์น
🦓	ม้าลาย, ลายทาง
🦌	กวาง, สัตว์, หัว, เขา
🐮	วัว, สัตว์, หน้าวัว
🐂	วัว, วัวตัวผู้, สัตว์
🐃	ควาย, สัตว์
🐄	วัว, สัตว์
🐷	สัตว์, หน้าหมู, หมู
🐖	สัตว์, หมู
🐗	สัตว์, หมูป่า, หมูป่าตัวผู้
🐽	จมูกหมู, หมู
🐏	สัตว์, แกะ, แกะตัวผู้
🐑	สัตว์, แกะ
🐐	สัตว์, แพะ
🐪	สัตว์, อูฐ, อูฐโหนกเดียว
🐫	สัตว์, อูฐ, อูฐสองโหนก
🦙	กัวนาโค, ขนสัตว์, บีกูญา, ลามะ, อัลปากา
🦒	กีฬา, ยีราฟ
🐘	ช้าง, สัตว์
🦏	นอ, สัตว์, แรด
🦛	ฮิปโป, ฮิปโปโปเตมัส
🐭	สัตว์, หนู, หน้าหนู
🐁	สัตว์, หนู, หนูตัวเล็ก
🐀	สัตว์, หนู, หนูตัวใหญ่
🐹	สัตว์, หน้าหนูแฮมสเตอร์, ใบหน้า
🐰	กระต่าย, สัตว์, หน้า, หน้ากระต่าย
🐇	กระต่าย, สัตว์
🦔	เม่น, เฮดจ์ฮ็อก
🦇	ค้างคาว, ดูดเลือด, สัตว์, แวมไพร์
🐻	สัตว์, หน้า, หน้าหมี, หมี
🐨	สัตว์, โคอาล่า
🐼	สัตว์, หน้า, หน้าแพนด้า, หมี, แพนด้า
🦘	กระโดด, จิงโจ้, สัตว์ที่มีกระเป๋าหน้าท้อง, ออสเตรเลีย, โจอี้
🦡	ก่อกวน, ฮันนี่แบดเจอร์, แบดเจอร์
🐾	รอยเท้า, รอยเท้าสัตว์
🦃	สัตว์ปีก, ไก่งวง
🐔	สัตว์ปีก, ไก่
🐓	สัตว์ปีก, ไก่, ไก่ตัวผู้
🐣	ลูกเจี๊ยบ, ลูกเจี๊ยบออกจากไข่, สัตว์
🐤	ลูกเจี๊ยบ, สัตว์ปีก
🐥	ลูกเจี๊ยบ, ลูกเจี๊ยบยืนหันหน้า, สัตว์ปีก, ไก่
🐧	สัตว์, เพนกวิน
🦅	นก, อินทรี
🦆	นก, เป็ด
🦢	นก, ลูกเป็ดขี้เหร่, หงส์
🦉	ตาโต, นก, นกฮูก, นอนไม่หลับ, เค้าแมว
🦚	ทะนงตัว, นก, นกยูง, นกยูงตัวเมีย, โอ้อวด
🦜	นก, นกแก้ว, พูดคุย, โจรสลัด
🐸	กบ, หน้า, หน้ากบ
🐊	จระเข้, สัตว์
🐢	สัตว์, เต่า
🦎	จิ้งจก, ตุ๊กแก, เลื้อยคลาน
🐍	งู, สัตว์, อสรพิษ
🐲	สัตว์, หน้ามังกร
🐉	มังกร, สัตว์
🦕	ซอโรพอด, บรอนโตซอรัส, ไดพลอโดคัส, ไดโนเสาร์
🦖	ทีเร็กซ์, ไทแรนโนซอรัส เร็กซ์
🐳	ปลาวาฬ, ปลาวาฬพ่นน้ำ, สัตว์
🐋	ปลาวาฬ, สัตว์
🐬	ปลาโลมา, สัตว์
🐠	ปลา, ปลาเขตร้อน, สัตว์
🐡	ปลา, ปลาปักเป้า, สัตว์
🦈	ฉลาม, ปลา
🐙	ปลาหมึก, ปลาหมึกยักษ์, สัตว์
🐚	สัตว์, หอย
🦀	กรกฎ, ปู, ราศี, สัตว์
🦞	กุ้งมังกร, ก้ามกุ้ง, ซุปน้ำข้น, อาหารทะเล
🦐	กุ้ง, อาหาร
🦑	ปลา, หมึก, อาหาร
🐌	สัตว์, หอยทาก
🦋	ผีเสื้อ, สวย, แมลง
🐛	สัตว์, แมลง
🐜	มด, แมลง
🐝	ผึ้ง, แมลง
🐞	เต่าทอง, แมลง, แมลงเต่าทอง
🦗	จิ้งหรีด, ตั๊กแตน
🦂	พิจิก, ราศี, แมงป่อง
🦟	มาลาเรีย, ยุง, แมลง, โรค, ไข้, ไวรัส
🦠	จุลินทรีย์, อะมีบา, แบคทีเรีย, ไวรัส
💐	ช่อดอกไม้, ดอกไม้
🌸	ดอกซากุระ, ดอกไม้
💮	ดอกไม้, ตราดอกไม้
🌹	กุหลาบแดง, ดอกกุหลาบ, ดอกไม้
🥀	กุหลาบ, ดอกไม้, ดอกไม้เหี่ยว, เฉา, เหี่ยว
🌺	ชบา, ดอกชบา, ดอกไม้
🌻	ดอกทานตะวัน, ดอกไม้, ทานตะวัน
🌼	ดอกไม้, ดอกไม้บาน
🌷	ดอกไม้, ทิวลิป
🌱	ต้นอ่อน, พืช
🌲	ต้นสน, ต้นไม้
🌳	ต้นไม้, ต้นไม้ร่มรื่น, ร่มเงา
🌴	ต้นปาล์ม, ต้นมะพร้าว
🌵	ตะบองเพชร, พืช
🌾	ต้นข้าว, รวงข้าว
🌿	สมุนไพร, ใบไม้
🍀	โชคดี, ใบโคลเวอร์ 4 แฉก, ใบไม้
🍁	ใบเมเปิ้ล, ใบไม้ร่วง
🍂	พืช, ร่วง, ใบไม้, ใบไม้ร่วง
🍃	ปลิว, พืช, ลมพัด, ใบไม้, ใบไม้ปลิว
🍇	ผลไม้, องุ่น
🍈	ผลไม้, เมลอน
🍉	ผลไม้, แตงโม
🍊	ผลไม้, ส้ม
🍋	ผลไม้, เลมอน
🍌	กล้วย, ผลไม้
🍍	ผลไม้, สับปะรด
🥭	ผลไม้, มะม่วง, เขตร้อน
🍎	ผลไม้, แอปเปิ้ล, แอปเปิ้ลแดง
🍏	ผลไม้, แอปเปิ้ล, แอปเปิ้ลเขียว
🍐	ผลไม้, ลูกแพร์
🍑	ผลไม้, ลูกพีช
🍒	ผลไม้, เชอร์รี่
🍓	ผลไม้, สตรอว์เบอร์รี่
🥝	กีวี, ผลไม้, อาหาร
🍅	ผัก, มะเขือเทศ
🥥	ปาล์ม l พีน่า โคลาด้า, มะพร้าว
🥑	ผลไม้, อาหาร, อาโวคาโด
🍆	ผัก, มะเขือยาว
🥔	ผัก, มัน, มันฝรั่ง, อาหาร, โปเตโต้
🥕	ผัก, อาหาร, แครอท
🌽	ข้าวโพด, ธัญพืช, พืช
🥒	ผัก, อาหาร, แตง, แตงกวา
🥬	กะหล่ำปลี, บ็อคชอย, ผักกาดหอม, ผักคะน้า, ผักใบเขียว
🥦	บรอกโคลี, บร็อกโคลี่
🍄	พืช, เห็ด
🥜	ถั่ว, ธัญพืช, ผัก, อาหาร
🌰	พืช, เกาลัด
🍞	ก้อนขนมปัง, ขนมปัง
🥐	ขนม, ขนมปัง, ครัวซอง, อาหาร
🥖	ขนมปัง, ขนมปังฝรั่งเศส, อาหาร
🥨	เพรตเซล
🥯	ทาแยม, ร้านขนมปัง, เบเกิล
🥞	ขนมปัง, อาหาร, แพนเค้ก
🧀	ชีส, เนยแข็ง
🍖	เนื้อ, เนื้อติดกระดูก
🍗	น่องไก่, ไก่
🥩	สเต็ก, หั่น, เนื้อหั่นชิ้น
🥓	อาหาร, เนื้อ, เบคอน
🍔	เบอร์เกอร์, แฮมเบอร์เกอร์
🍟	มันฝรั่งทอด, เฟรนช์ฟราย
🍕	พิซซ่า, พิซซ่า 1 ชิ้น
🌭	ฮอทด็อก, ไส้กรอก
🥪	ขนมปัง, แซนด์วิช
🌮	ทาโก้, เม็กซิกัน, เม็กซิโก
🌯	เบอร์ริโต, เม็กซิกัน, เม็กซิโก
🥙	อาหาร, เคบับ
🥚	ศูนย์, อาหาร, ไข่
🍳	กระทะ, ทำอาหาร, ไข่ดาว
🥘	กระทะ, กะทะ, ทำอาหาร, อาหาร
🍲	สตูว์, หม้ออาหาร
🥣	ข้าวต้ม, ชามพร้อมช้อน, ซีเรียล, โจ๊ก
🥗	คลีน, ผัก, สลัด, อาหาร, ไดเอ็ท
🍿	ข้าวโพดคั่ว, ป๊อปคอร์น
🧂	ขวดเกลือ, เกลือ, เครื่องปรุง
🥫	กระป๋อง, อาหารกระป๋อง
🍱	กล่องเบนโตะ, เบนโตะ
🍘	ข้าวอบกรอบ, แครกเกอร์
🍙	ก้อนข้าวปั้น, ข้าวปั้น
🍚	ข้าว, ข้าวสวย, ชามข้าว
🍛	ข้าวแกงกะหรี่, แกงกะหรี่
🍜	ชามก๋วยเตี๋ยว, บะหมี่, ราเมน
🍝	พาสต้า, สปาเก็ตตี้
🍠	มันเทศเผา, มันเผา
🍢	โอเด้ง, โอเด้งเสียบไม้
🍣	ซูชิ
🍤	กุ้ง, กุ้งทอด
🍥	ปลา, ลูกชิ้น, ลูกชิ้นปลา
🥮	ขนมไหว้พระจันทร์, ฤดูใบไม้ร่วง, วันไหว้พระจันทร์, เทศกาล
🍡	ดังโงะ, ดังโงะเสียบไม้, โมจิ
🥟	เกี๊ยว, เกี๊ยวซ่า
🥠	ขนมดวงดี, คุกกี้เสี่ยงทาย
🥡	อาหารกล่องซื้อกลับบ้าน, อาหารสั่งกลับบ้าน
🍦	ซอฟต์ครีม, ไอศกรีม
🍧	ของหวาน, น้ำหวาน, น้ำแข็ง, น้ำแข็งไส
🍨	ของหวาน, ครีม, น้ำแข็ง, ไอศกรีม
🍩	ขนม, ของหวาน, โดนัท
🍪	ขนม, ของหวาน, คุกกี้
🎂	วันเกิด, เค้ก, เค้กวันเกิด
🍰	ชิ้นเค้ก, เค้ก
🧁	ขนมหวาน, คัพเค้ก, เบเกอรี่
🥧	พาย
🍫	ช็อกโกแลต, ช็อกโกแลตแท่ง
🍬	ขนม, ของหวาน, ลูกอม
🍭	ขนม, ของหวาน, ลูกอม, อมยิ้ม
🍮	คัสตาร์ด, พุดดิ้ง
🍯	น้ำผึ้ง, โถน้ำผึ้ง
🍼	ขวดนม, นม
🥛	นม, เครื่องดื่ม, แก้ว, แก้วนม
🍵	ชา, ถ้วยชา
🍶	ขวดสาเก, สาเก, เหล้าสาเก
🍾	ขวด, จุกไม้ก๊อก, บาร์, เครื่องดื่ม, แชมเปญ
🍷	แก้วไวน์, ไวน์, ไวน์แดง
🍹	บาร์, ผลไม้, เครื่องดื่ม, เครื่องดื่มผสมน้ำผลไม้
🍺	ฉลอง, ดื่ม, เบียร์, เหยือกเบียร์
🍻	ฉลอง, ชนแก้ว, ดื่ม, เบียร์, เหยือกเบียร์ชนกัน
🥂	ฉลอง, ชน, ชนแก้ว, เย้, แก้ว
🥃	ดื่ม, เพียว, เหล้า, แก้ว, แก้วเหล้า
🥤	แก้วพร้อมหลอด
🥢	ตะเกียบ
🍴	ร้านอาหาร, ส้อมและมีด
🥄	ช้อน, ภาชนะ
🔪	มีด, มืดทำครัว
🏺	จักรราศี, ราศีกุมภ์, โถ, โถโบราณ
🌍	ยุโรป, ลูกโลก, ลูกโลกแสดงทวีปยุโรปและแอฟริกา, แอฟริกา
🌏	ลูกโลก, ลูกโลกแสดงทวีปเอเชียและออสเตรเลีย, ออสเตรเลีย, เอเชีย
🌐	ลูกโลก, ลูกโลกแสดงเส้นเมริเดียน, เส้นเมริเดียน
🗾	ญี่ปุ่น, แผนที่ญี่ปุ่น
🧭	การนำทาง, ขั้วแม่เหล็ก, เข็มทิศ, โอเรนเทียริ่ง
🌋	ภูเขาไฟ, ภูเขาไฟระเบิด
🗻	ภูเขา, ภูเขาไฟฟูจิ
🧱	กำแพง, ก้อนอิฐ, ดิน, ปูน, อิฐ
🏡	บ้าน, บ้านพร้อมสวน
🏢	ตึก, ตึกสำนักงาน, สำนักงาน
🏣	ตึก, ไปรษณีย์ญี่ปุ่น
🏤	ตึก, ไปรษณีย์ยุโรป
🏥	ตึก, โรงพยาบาล
🏦	ตึก, ธนาคาร
🏨	ตึก, โรงแรม
🏩	ม่านรูด, โรงแรม
🏪	ของใช้, ร้านค้า, ร้านสะดวกซื้อ, สินค้า
🏫	ตึกเรียน, โรงเรียน
🏬	สินค้า, ห้าง, ห้างสรรพสินค้า
🏯	ญี่ปุ่น, ปราสาท, ปราสาทญี่ปุ่น
🏰	ปราสาท, ปราสาทยุโรป
💒	งานแต่งงาน, โบสถ์
🗼	โตเกียว, โตเกียวทาวเวอร์
🗽	รูปปั้น, เทพีเสรีภาพ
🕌	มัสยิด, มุสลิม, ศาสนา, อิสลาม
🕍	ยิว, ยูดาย, ศาสนา, โบสถ์, โบสถ์ยิว
🕋	มุสลิม, วิหารกะอ์บะฮ์, ศาสนา, อิสลาม
🌁	หมอก, หมอกลง
🌃	กลางคืน, ดาว, ดาวยามค่ำคืน
🌄	ดวงอาทิตย์ตอนเช้า, ดวงอาทิตย์โผล่พ้นเขา
🌅	ดวงอาทิตย์ขึ้น, ดวงอาทิตย์ตอนเช้า
🌆	ตอนเย็น, เมืองยามโพล้เพล้, โพล้เพล้
🌇	ดวงอาทิตย์ตก, ดวงอาทิตย์ตกเหนือตึก, โพล้เพล้
🌉	กลางคืน, สะพาน, สะพานกลางคืน
🌌	ดาราจักร, ทางช้างเผือก, อวกาศ
🎠	ม้าหมุน, สวนสนุก
🎡	ชิงช้าสวรรค์, สวนสนุก
🎢	รถไฟเหาะ, สวนสนุก, โรลเลอร์โคสเตอร์
💈	บาร์เบอร์, ร้านตัดผม
🎪	ละครสัตว์, เต๊นท์ละครสัตว์
🚂	ยานพาหนะ, รถไฟ, หัวรถจักรไอน้ำ, เครื่องจักร, ไอน้ำ
🚃	ตู้รถไฟ, รถราง, รถไฟฟ้า
🚄	ชินคันเซ็น, รถไฟความเร็วสูง
🚅	ชินคันเซน, ยานพาหนะ, รถไฟ, รถไฟความเร็วสูง, หัวกระสุน, เร็ว
🚆	ยานพาหนะ, รถไฟ
🚈	ยานพาหนะ, รถไฟ, รถไฟรางเบา
🚉	ยานพาหนะ, รถไฟ, สถานีรถไฟ
🚊	ยานพาหนะ, รถรางบนราง, รถไฟ
🚝	ยานพาหนะ, รถไฟรางเดี่ยว
🚞	ภูเขา, ยานพาหนะ, รถ, รถราง, รางรถไฟภูเขา
🚋	ตู้รถราง, ยานพาหนะ, รถ, รถราง
🚌	ยานพาหนะ, รถบัส
🚎	ยานพาหนะ, รถราง
🚐	มินิบัส, ยานพาหนะ, รถบัส
🚒	ยานพาหนะ, รถ, รถดับเพลิง, สายดับเพลิง, ไฟ
🚓	ตรวจการณ์, ตำรวจ, ยานพาหนะ, รถตำรวจ, รถยนต์
🚕	เครื่องยนต์, แท็กซี่
🚖	กำลังมา, ยานพาหนะ, แท็กซี่, แท็กซี่กำลังมา
🚗	ยานพาหนะ, รถ, รถยนต์
🚙	รถ, รถบ้าน, รถพักผ่อน
🚚	รถ, รถขนส่ง
🚛	ขนส่ง, ยานพาหนะ, รถบรรทุก
🚜	ยานพาหนะ, แทร็กเตอร์
🛴	สกู๊ตเตอร์
🛹	บอร์ด, สเก็ตบอร์ด
🛵	รถ, รถสกู๊ตเตอร์, สกู๊ตเตอร์
🚏	ป้ายรถ, ป้ายรถบัส, ยานพาหนะ, รถบัส
🚨	ฉุกเฉิน, ตำรวจ, ยานพาหนะ, รถยนต์, สัญญาณไฟตำรวจ, ไฟสัญญาณ
🚥	จราจร, สัญญาณ, ไฟ, ไฟจราจรแนวนอน
🚦	จราจร, สัญญาณ, ไฟ, ไฟจราจรแนวตั้ง
🛑	หยุด, เครื่องหมาย, เครื่องหมายหยุด, แปดเหลี่ยม
🚧	กำลังก่อสร้าง, ป้ายไซต์ก่อสร้าง
🛶	พาย, เรือ, แคนู
🚤	ยานพาหนะ, เรือ, เรือด่วน
🚢	ยานพาหนะ, เรือ
